RIC;ISIN;Company Common Name;TRBC Economic Sector Name;Country of Issuer
2GBG.DE;DE000A0HL8N9;2G Energy AG;Industrials;Germany
PCZ.DE;DE0006223407;ProCredit Holding AG & Co KGaA;Financials;Germany
HXCKk.DE;DE000A161077;Ernst Russ AG;Financials;Germany
INHG.DE;DE0006200108;Indus Holding AG;Consumer Non-Cyclicals;Germany
BDTG.DE;DE0005232805;Bertrandt AG;Industrials;Germany
CLIQ.DE;DE000A0HHJR3;CLIQ Digital AG;Technology;Germany
M0Y.DE;DE000A0JCY11;Mynaric AG;Technology;Germany
SKBG.DE;DE0007193500;Koenig & Bauer AG;Industrials;Germany
VOSG.DE;DE0007667107;Vossloh AG;Industrials;Germany
TTKG.DE;DE0007446007;Takkt AG;Technology;Germany
PV.DE;DE0006916604;Pfeiffer Vacuum Technology AG;Industrials;Germany
TIMAn.DE;DE000ZEAL241;ZEAL Network SE;Consumer Cyclicals;Germany
LUSGn.DE;DE0006459324;Lang & Schwarz AG;Financials;Germany
ELGG.DE;DE0005677108;Elmos Semiconductor SE;Technology;Germany
BYWGnx.DE;DE0005194062;BayWa AG;Consumer Non-Cyclicals;Germany
PNEGn.DE;DE000A0JBPG2;PNE AG;Energy;Germany
FSNT.DE;DE000A2QEFA1;Fashionette AG;Consumer Cyclicals;Germany
KTAG.DE;DE000A2YN504;Knaus Tabbert AG;Consumer Cyclicals;Germany
QBYn.DE;DE0005137004;q.beyond AG;Technology;Germany
PSAGn.DE;DE000A0Z1JH9;PSI Software AG;Technology;Germany
HRPKk.DE;DE000A11QW68;7C Solarparken AG;Utilities;Germany
IVUG.DE;DE0007448508;IVU Traffic Technologies AG;Technology;Germany
M7UG.DE;DE000A0MSN11;Nynomic AG;Technology;Germany
FYB.DE;DE000A1EWVY8;Formycon AG;Healthcare;Germany
BIKE.DE;DE000A3CQ7F4;Bike24 Holding AG;Consumer Cyclicals;Germany
HNLG.DE;DE0005157101;Dr Hoenle AG;Industrials;Germany
MUMG.DE;DE0006580806;Mensch und Maschine Software SE;Technology;Germany
JDC.DE;DE000A0B9N37;JDC Group AG;Financials;Germany
MRXG.DE;DE000A3CSAE2;Mister Spex SE;Consumer Cyclicals;Germany
OHBG.DE;DE0005936124;OHB SE;Industrials;Germany
PHHGn.F;DE0007474041;Paul Hartmann AG;Healthcare;Germany
NWOn.DE;DE000NWRK013;New Work SE;Technology;Germany
ILM1k.DE;DE000A1MMCC8;Medios AG;Consumer Non-Cyclicals;Germany
KWSG.DE;DE0007074007;KWS SAAT SE & Co KgaA;Consumer Non-Cyclicals;Germany
D6HG.DE;DE000A0JC8S7;Datagroup SE;Technology;Germany
M12.DE;DE000A0STSQ8;M1 Kliniken AG;Healthcare;Germany
2HR.DE;DE000A2E4T77;H&R GmbH & Co KgaA;Basic Materials;Germany
DRWG.DE;DE0005550602;Draegerwerk AG & Co KGaA;Healthcare;Germany
SHFG.DE;DE0007203705;SNP Schneider Neureither & Partner SE;Technology;Germany
ARTG.DE;DE000A0DNAY5;bet-at-home.com AG;Consumer Cyclicals;Germany
PU11n.DE;DE000A1YC996;Social Chain AG;Consumer Cyclicals;Germany
LEIG.DE;DE0006464506;Leifheit AG;Consumer Non-Cyclicals;Germany
KU2G.DE;DE0006204407;Kuka AG;Industrials;Germany
CRZKG.DE;DE000A2GS625;CR Capital AG;Real Estate;Germany
H5EG.DE;DE000A0EQ578;HELMA Eigenheimbau AG;Real Estate;Germany
CNTG.O;NL0014040206;Centogene NV;Healthcare;Germany
WUWGn.DE;DE0008051004;Wuestenrot & Wuerttembergische AG;Financials;Germany
GKSG.DE;DE0007571424;GK Software SE;Technology;Germany
AEIGn.DE;DE000A2GS633;Allgeier SE;Technology;Germany
MDG1k.DE;DE000A1X3W00;Medigene AG;Healthcare;Germany
